title,rating,price,availability
Sharp Objects,Four,£47.82,instock
"In a Dark, Dark Wood",One,£19.63,instock
The Past Never Ends,Four,£56.50,instock
A Murder in Time,One,£16.64,instock
The Murder of Roger Ackroyd (Hercule Poirot #4),Four,£44.10,instock
The Last Mile (Amos Decker #2),Two,£54.21,instock
That Darkness (Gardiner and Renner #1),One,£13.92,instock
Tastes Like Fear (DI Marnie Rome #3),One,£10.69,instock
A Time of Torment (Charlie Parker #14),Five,£48.35,instock
A Study in Scarlet (Sherlock Holmes #1),Two,£16.73,instock
Poisonous (Max Revere Novels #3),Three,£26.80,instock
Murder at the 42nd Street Library (Raymond Ambler #1),Four,£54.36,instock
Most Wanted,Three,£35.28,instock
Hide Away (Eve Duncan #20),One,£11.84,instock
Boar Island (Anna Pigeon #19),Three,£59.48,instock
The Widow,Two,£27.26,instock
Playing with Fire,Three,£13.71,instock
What Happened on Beale Street (Secrets of the South Mysteries #2),Five,£25.37,instock
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Five,£52.30,instock
Delivering the Truth (Quaker Midwife Mystery #1),Four,£20.89,instock
